CG	CHG	CHH
1492209.0	1490683.0	7917727.0
971375.0	966874.0	5159736.0
1186802.0	1183409.0	6177129.0
931810.0	930179.0	4890588.0
1336613.0	1332515.0	7052975.0
28572.0	26012.0	109643.0
8378.0	7268.0	39122.0
5955759.0	5936940.0	31346920.0
